"","GEOID10","stops2010","pop2010","stops2011","pop2011","stops2012","pop2012"
"969",36047086800,283,3156,440,3156,411,3156
"970",36047087000,125,3204,114,3204,123,3204
"971",36047087200,170,2868,210,2868,174,2868
"972",36047087401,152,3142,159,3142,126,3142
"973",36047087600,67,1742,72,1742,56,1742
"974",36047087800,502,3006,288,3006,173,3006
"975",36047088000,196,2863,206,2863,179,2863
"976",36047088200,589,6740,605,6740,609,6740
"977",36047088400,451,5236,647,5236,396,5236
"978",36047088600,513,4427,711,4427,678,4427
"979",36047088800,296,3923,164,3923,178,3923
"980",36047089000,675,6319,744,6319,764,6319
"981",36047089200,524,3651,751,3651,558,3651
"982",36047089400,581,3430,1063,3430,839,3430
"983",36047089600,305,3546,322,3546,437,3546
"984",36047089800,399,2089,706,2089,433,2089
"985",36047090000,1041,5508,1320,5508,854,5508
"986",36047090200,817,3451,1234,3451,938,3451
"987",36047090600,2372,4581,2482,4581,2040,4581
"988",36047090800,1734,3990,2186,3990,1785,3990
"989",36047091000,1936,5610,3225,5610,2562,5610
"990",36047091200,2882,6814,3758,6814,3604,6814
"991",36047091600,678,4325,744,4325,991,4325
"992",36047091800,197,2804,206,2804,488,2804
"993",36047092000,452,3154,581,3154,643,3154
"994",36047092200,88,2691,98,2691,102,2691
"995",36047092400,1193,2656,1411,2656,1280,2656
"996",36047092800,57,2656,54,2656,57,2656
"997",36047093000,76,2547,77,2547,73,2547
"998",36047093200,134,1142,55,1142,83,1142
"999",36047093400,53,2401,117,2401,66,2401
"1000",36047093600,78,1628,75,1628,104,1628
"1001",36047093800,59,2374,98,2374,93,2374
"1002",36047094401,111,3202,126,3202,161,3202
"1003",36047094402,365,2886,280,2886,329,2886
"1004",36047094600,131,1830,109,1830,112,1830
"1005",36047095000,339,2906,378,2906,305,2906
"1006",36047095400,370,4607,317,4607,185,4607
"1007",36047095600,517,4042,568,4042,326,4042
"1008",36047095800,276,3456,291,3456,206,3456
"1009",36047096000,77,0,138,0,89,0
"1010",36047096200,128,1717,147,1717,144,1717
"1011",36047096400,190,2361,232,2361,243,2361
"1012",36047096600,199,2164,200,2164,192,2164
"1013",36047096800,322,1471,514,1471,395,1471
"1014",36047097000,65,2105,70,2105,47,2105
"1015",36047097400,264,2724,254,2724,247,2724
"1016",36047098200,858,4305,491,4305,535,4305
"1017",36047098400,106,1978,62,1978,91,1978
"1018",36047098600,240,2862,172,2862,241,2862
"1019",36047098800,184,3054,157,3054,211,3054
"1020",36047099000,155,1422,111,1422,112,1422
"1021",36047099200,79,1833,95,1833,53,1833
"1022",36047099400,153,1978,132,1978,88,1978
"1023",36047099600,144,3631,124,3631,96,3631
"1024",36047099800,137,3784,98,3784,83,3784
"1025",36047100400,82,2567,37,2567,45,2567
"1026",36047100600,126,2489,85,2489,62,2489
"1027",36047100800,103,2124,130,2124,55,2124
"1028",36047101000,170,2318,107,2318,141,2318
"1029",36047101200,98,1932,86,1932,112,1932
"1030",36047101400,97,2160,57,2160,109,2160
"1031",36047101600,26,1464,14,1464,72,1464
"1032",36047101800,56,1851,34,1851,74,1851
